subj,serial,path,product,mac,macpp,macbot,macsmrd,luis,luispp,luisbot,luissmrd,avgsmrd,avgbot,avgbot.z,avgsmrd.z,sot,avgpp,smrd,aspect,bot,dec,gender,age,req,re,avgbotA
1,130248,1,A,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,1,2,2,1,1,2,18,0,-2
1,130248,1,B,prom,1,1,1,prev,-1,-1,-1,0,0,-0.19,-0.23,-0.21,0,1,1,1,1,1,2,18,0,-2
2,130249,0,A,prom,1,1,0,prom,1,1,0,0,1,0.24,-0.23,0.01,1,0.5,4,2,1,2,1,24,1,1
2,130249,0,B,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,3,3,1,2,1,24,1,1
3,130250,1,A,prom,1,1,0,prom,1,1,0,0,1,0.24,-0.23,0.01,1,-1,3,-3,0,2,2,20,1,1
3,130250,1,B,prom,1,7,1,prom,1,7,1,1,7,2.85,0.95,1.9,1,0.4,7,5,1,2,2,20,1,1
4,130251,0,A,prom,1,1,0,prom,1,1,0,0,1,0.24,-0.23,0.01,1,-1,3,-1,0,2,1,26,1,1
4,130251,0,B,prom,1,1,-1,prev,-1,-1,-1,-1,0,-0.19,-1.42,-0.81,0,0,3,1,0,2,1,26,1,1
5,130252,1,A,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.6,1,1,1,1,0,2,2,19,0,1
5,130252,1,B,prom,1,2,-0.5,prom,1,2,-0.5,-0.5,2,0.68,-0.83,-0.07,1,-0.5,4,3,1,2,2,19,0,1
6,130253,0,A,prom,1,1,-1,prev,-1,-1,-1,-1,0,-0.19,-1.42,-0.81,0,-1,3,-3,1,2,2,19,0,0
6,130253,0,B,prev,-1,-1,0.1,prev,-1,1,-0.4,-0.1,0,-0.19,-0.4,-0.3,-1,-0.7,7,-1,0,2,2,20,1,0
7,130254,0,A,prev,-1,0,-0.5,prev,-1,0,-0.5,-0.5,0,-0.19,-0.83,-0.51,-1,-1,4,2,1,2,2,20,1,0
7,130254,0,B,prev,-1,2,0,prom,1,2,0,0,2,0.68,-0.23,0.22,0,0.8,6,-4,1,2,2,20,1,0
8,130255,1,A,prom,1,2,-1,prom,1,2,-1,-1,2,0.68,-1.42,-0.37,1,1,4,-2,0,2,2,17,0,2
8,130255,1,B,prom,1,3,1,prom,1,4,0.5,0.8,3.5,1.33,0.66,0.99,1,0.8,8,4,0,2,2,17,0,2
9,130256,0,A,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,4,-4,0,2,1,21,1,-2
9,130256,0,B,prev,-1,-6,-1,prev,-1,-6,-1,-1,-6,-2.8,-1.42,-2.11,-1,-1,6,-6,0,2,1,21,1,-2
10,130257,0,A,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,0,3,-1,0,2,1,22,1,-2
10,130257,0,B,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,2,0,0,2,1,22,1,-2
11,130258,1,A,prom,1,1,0,prom,1,1,0,0,1,0.24,-0.23,0.01,1,-1,3,-3,0,2,1,25,1,1
11,130258,1,B,prev,-1,0,0,prev,-1,-2,1,0.5,-1,-0.63,0.36,-0.13,-1,1,4,-2,0,2,1,25,1,1
12,130259,1,A,prom,1,4,1,prom,1,4,1,1,4,1.55,0.95,1.25,1,-1,4,2,1,2,2,25,1,4
12,130259,1,B,prom,1,1,-1,prom,1,3,-0.6,-0.8,2,0.68,-1.18,-0.25,1,-0.6,6,3,1,2,2,25,1,4
13,130260,0,A,prom,1,0,-1,prom,1,0,-1,-1,0,-0.19,-1.42,-0.81,1,1,2,2,1,2,1,17,0,0
13,130260,0,B,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,3,3,1,2,1,17,0,0
14,130261,1,A,prev,-1,0,1,prom,1,2,1,1,1,0.24,0.95,0.6,0,-1,2,-2,0,1,5,21,1,1
14,130261,1,B,prom,1,4,1,prom,1,4,1,1,4,1.55,0.95,1.25,1,1,4,4,1,1,5,21,1,1
15,130262,0,A,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,1,3,3,1,2,2,15,0,3
15,130262,0,B,prom,1,1,1,prom,1,1,1,1,1,0.24,0.95,0.6,1,0.7,3,1,1,2,2,15,0,3
16,130263,1,A,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,-1,2,-2,0,1,2,26,1,2
16,130263,1,B,prom,1,2,1,prom,1,2,1,1,2,0.68,0.95,0.82,1,1,2,2,1,1,2,26,1,2
17,130266,0,A,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,2,-2,0,2,1,19,0,-2
17,130266,0,B,unk,0,0,1,prom,1,2,1,1,1,0.24,0.95,0.6,0.5,1,2,2,1,2,1,19,0,-2
18,130267,1,A,prev,-1,-1,-1,prev,-1,-1,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,1,-1,0,2,1,34,1,-1
18,130267,1,B,prev,-1,-2,-1,prev,-1,-2,-1,-1,-2,-1.06,-1.42,-1.24,-1,-1,2,-2,0,2,1,34,1,-1
19,130269,0,A,prom,1,3,1,prom,1,3,1,1,3,1.11,0.95,1.03,1,0,3,1,1,1,2,17,0,3
19,130269,0,B,prom,1,4,1,prom,1,4,1,1,4,1.55,0.95,1.25,1,1,4,4,1,1,2,17,0,3
20,130270,1,A,prom,1,3,0.6,prom,1,3,0.6,0.6,3,1.11,0.45,0.78,1,0.4,7,-1,1,2,1,19,0,3
